Unitid,Course,Description,Sem/Year
12886,COMP7230,Programming for Data Scientists,Sum/2021
12715,COMP6240,Relational Databases,S2/2021
12252,COMP2700,Cyber Security Fundamentals,S2/2021
11960,COMP4550,Advanced Computing Research Project,S2/2021
12887,COMP3600,Algorithms,S2/2021
12716,COMP2400,Relational Databases,S2/2021
12253,COMP3310,Computer Networks,S1/2021
11961,COMP4450,Advanced Computing Research Methods,S1/2021
12886,COMP8410,Data Mining,Win/2021
12886,COMP8430,Data Wrangling,Sum/2021
12886,COMP8410,Data Mining,S1/2021
12886,COMP8430,Data Wrangling,S2/2020
12886,COMP6730,Programming for Scientists,S1/2020
12886,COMP7240,Introduction to Database Concepts,Aut/2020
12886,COMP6730,Programming for Scientists,S1/2019
