year,program,program_desc,plans,plans_desc,admit_year,nenrolled
2018,1003,ANU Express,1003XEXPRS,ANU Express,2018,15
2017,1003,ANU Express,1003XEXPRS,ANU Express,2017,20
2016,1003,ANU Express,1003XEXPRS,ANU Express,2016,13
2015,1003,ANU Express,1003XEXPRS,ANU Express,2015,13
2015,1003,ANU Express,1003XEXPRS,ANU Express,2014,1
2016,1005,Cross Institutional UC Music,1005XNAWD,Cross Institutional UC Music,2014,1
2016,1005,Cross Institutional UC Music,1005XNAWD,Cross Institutional UC Music,2013,1
2015,1005,Cross Institutional UC Music,1005XNAWD,Cross Institutional UC Music,2014,1
2015,1005,Cross Institutional UC Music,1005XNAWD,Cross Institutional UC Music,2013,3
2015,1005,Cross Institutional UC Music,1005XNAWD,Cross Institutional UC Music,2012,1
2019,1007,ANU University Prep Program,1007XACHVE,ANU Achieve,2019,2
2018,1007,ANU University Prep Program,1007XACHVE,ANU Achieve,2018,7
2020,1007,ANU University Prep Program,1007XACTVT,ANU Activate,2020,1
2019,1007,ANU University Prep Program,1007XACTVT,ANU Activate,2019,5
2019,1007,ANU University Prep Program,1007XACTVT,ANU Activate,2018,1
2018,1007,ANU University Prep Program,1007XACTVT,ANU Activate,2018,5
2020,1007,ANU University Prep Program,1007XADVNC,ANU Advanced,2020,2
2019,1007,ANU University Prep Program,1007XADVNC,ANU Advanced,2019,7
2019,1007,ANU University Prep Program,1007XADVNC,ANU Advanced,2018,1
2018,1007,ANU University Prep Program,1007XADVNC,ANU Advanced,2018,8
2017,1102,ANU Preparatory Program,1102XPREP,ANU Preparatory Program,2017,2
2016,1102,ANU Preparatory Program,1102XPREP,ANU Preparatory Program,2016,7
2015,1102,ANU Preparatory Program,1102XPREP,ANU Preparatory Program,2015,6
2022,1110,Non Award Arts,1110XNAWD,Non Award Examination -Arts,2022,3
2022,1110,Non Award Arts,1110XNAWD,Non Award Examination -Arts,2021,1
2021,1110,Non Award Arts,1110XNAWD,Non Award Examination -Arts,2021,6
2021,1110,Non Award Arts,1110XNAWD,Non Award Examination -Arts,2020,1
2020,1110,Non Award Arts,1110XNAWD,Non Award Examination -Arts,2020,3
2019,1110,Non Award Arts,1110XNAWD,Non Award Examination -Arts,2019,8
2018,1110,Non Award Arts,1110XNAWD,Non Award Examination -Arts,2018,3
2017,1110,Non Award Arts,1110XNAWD,Non Award Examination -Arts,2017,4
2016,1110,Non Award Arts,1110XNAWD,Non Award Examination -Arts,2016,4
2016,1110,Non Award Arts,1110XNAWD,Non Award Examination -Arts,2014,1
2015,1110,Non Award Arts,1110XNAWD,Non Award Examination -Arts,2015,9
2015,1110,Non Award Arts,1110XNAWD,Non Award Examination -Arts,2014,2
2022,1111,Cross Institutional Arts,1111XNAWD,Arts (Cross-Institutional),2022,15
2022,1111,Cross Institutional Arts,1111XNAWD,Arts (Cross-Institutional),2021,5
2022,1111,Cross Institutional Arts,1111XNAWD,Arts (Cross-Institutional),2020,3
2022,1111,Cross Institutional Arts,1111XNAWD,Arts (Cross-Institutional),2019,1
2021,1111,Cross Institutional Arts,1111XNAWD,Arts (Cross-Institutional),2021,34
2021,1111,Cross Institutional Arts,1111XNAWD,Arts (Cross-Institutional),2020,5
2021,1111,Cross Institutional Arts,1111XNAWD,Arts (Cross-Institutional),2019,3
2021,1111,Cross Institutional Arts,1111XNAWD,Arts (Cross-Institutional),2015,1
2020,1111,Cross Institutional Arts,1111XNAWD,Arts (Cross-Institutional),2020,33
2020,1111,Cross Institutional Arts,1111XNAWD,Arts (Cross-Institutional),2019,4
2020,1111,Cross Institutional Arts,1111XNAWD,Arts (Cross-Institutional),2018,1
2020,1111,Cross Institutional Arts,1111XNAWD,Arts (Cross-Institutional),2017,2
2020,1111,Cross Institutional Arts,1111XNAWD,Arts (Cross-Institutional),2016,1
2020,1111,Cross Institutional Arts,1111XNAWD,Arts (Cross-Institutional),2015,1
2019,1111,Cross Institutional Arts,1111XNAWD,Arts (Cross-Institutional),2019,34
2019,1111,Cross Institutional Arts,1111XNAWD,Arts (Cross-Institutional),2018,8
2019,1111,Cross Institutional Arts,1111XNAWD,Arts (Cross-Institutional),2017,8
2019,1111,Cross Institutional Arts,1111XNAWD,Arts (Cross-Institutional),2016,4
2019,1111,Cross Institutional Arts,1111XNAWD,Arts (Cross-Institutional),2015,2
2018,1111,Cross Institutional Arts,1111XNAWD,Arts (Cross-Institutional),2018,39
