Course,Description,Sem/Year,Enrol.,Status,Grade,Final,Comment,Sp
COMP3600,Algorithms,S2/2021,details,,CR,61,,Sp
COMP2400,Relational Databases,S2/2021,details,UN,,0,,Sp
COMP8410,Data Mining,Win/2021,details,,NCN,,,Sp
COMP8430,Data Wrangling,S1/2021,details,,PS,50,,Sp
COMP3310,Computer Networks,S1/2021,details,,CR,61,,Sp
COMP4450,Advanced Computing Research Methods,S1/2021,details,,D,72,,Sp
COMP8410,Data Mining,S1/2021,details,UN,,,,Sp
COMP7230,Programming for Data Scientists,Sum/2021,details,,D,74,,Sp
COMP6240,Relational Databases,Win/2020,details,,CR,62,,Sp
COMP2700,Cyber Security Fundamentals,S2/2020,details,,HD,89,,SP
COMP4550,Advanced Computing Research Project,S2/2020,details,,KU,0,,Sp
COMP8430,Data Wrangling,S1/2020,details,UN,,,,Sp
COMP6730,Programming for Scientists,S1/2020,details,,PS,50,,Sp
COMP7240,Introduction to Database Concepts,S1/2020,details,,HD,100,,Sp
COMP6730,Programming for Scientists,S1/2020,details,,N,28,,Sp
